,Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
0,Singapore,SG,,,,1.35,103.82,0,recovered,2020-01-23T00:00:00Z
1,Singapore,SG,,,,1.35,103.82,0,recovered,2020-01-24T00:00:00Z
2,Singapore,SG,,,,1.35,103.82,0,recovered,2020-01-25T00:00:00Z
3,Singapore,SG,,,,1.35,103.82,0,recovered,2020-01-26T00:00:00Z
4,Singapore,SG,,,,1.35,103.82,0,recovered,2020-01-27T00:00:00Z
5,Singapore,SG,,,,1.35,103.82,0,recovered,2020-01-28T00:00:00Z
6,Singapore,SG,,,,1.35,103.82,0,recovered,2020-01-29T00:00:00Z
7,Singapore,SG,,,,1.35,103.82,0,recovered,2020-01-30T00:00:00Z
8,Singapore,SG,,,,1.35,103.82,0,recovered,2020-01-31T00:00:00Z
9,Singapore,SG,,,,1.35,103.82,0,recovered,2020-02-01T00:00:00Z
10,Singapore,SG,,,,1.35,103.82,0,recovered,2020-02-02T00:00:00Z
11,Singapore,SG,,,,1.35,103.82,0,recovered,2020-02-03T00:00:00Z
12,Singapore,SG,,,,1.35,103.82,0,recovered,2020-02-04T00:00:00Z
13,Singapore,SG,,,,1.35,103.82,0,recovered,2020-02-05T00:00:00Z
14,Singapore,SG,,,,1.35,103.82,0,recovered,2020-02-06T00:00:00Z
15,Singapore,SG,,,,1.35,103.82,0,recovered,2020-02-07T00:00:00Z
16,Singapore,SG,,,,1.35,103.82,2,recovered,2020-02-08T00:00:00Z
17,Singapore,SG,,,,1.35,103.82,2,recovered,2020-02-09T00:00:00Z
18,Singapore,SG,,,,1.35,103.82,2,recovered,2020-02-10T00:00:00Z
19,Singapore,SG,,,,1.35,103.82,9,recovered,2020-02-11T00:00:00Z
20,Singapore,SG,,,,1.35,103.82,15,recovered,2020-02-12T00:00:00Z
21,Singapore,SG,,,,1.35,103.82,15,recovered,2020-02-13T00:00:00Z
22,Singapore,SG,,,,1.35,103.82,17,recovered,2020-02-14T00:00:00Z
23,Singapore,SG,,,,1.35,103.82,18,recovered,2020-02-15T00:00:00Z
24,Singapore,SG,,,,1.35,103.82,18,recovered,2020-02-16T00:00:00Z
25,Singapore,SG,,,,1.35,103.82,24,recovered,2020-02-17T00:00:00Z
26,Singapore,SG,,,,1.35,103.82,29,recovered,2020-02-18T00:00:00Z
27,Singapore,SG,,,,1.35,103.82,34,recovered,2020-02-19T00:00:00Z
28,Singapore,SG,,,,1.35,103.82,34,recovered,2020-02-20T00:00:00Z
29,Singapore,SG,,,,1.35,103.82,37,recovered,2020-02-21T00:00:00Z
30,Singapore,SG,,,,1.35,103.82,37,recovered,2020-02-22T00:00:00Z
31,Singapore,SG,,,,1.35,103.82,51,recovered,2020-02-23T00:00:00Z
32,Singapore,SG,,,,1.35,103.82,51,recovered,2020-02-24T00:00:00Z
33,Singapore,SG,,,,1.35,103.82,53,recovered,2020-02-25T00:00:00Z
34,Singapore,SG,,,,1.35,103.82,62,recovered,2020-02-26T00:00:00Z
35,Singapore,SG,,,,1.35,103.82,62,recovered,2020-02-27T00:00:00Z
36,Singapore,SG,,,,1.35,103.82,62,recovered,2020-02-28T00:00:00Z
37,Singapore,SG,,,,1.35,103.82,72,recovered,2020-02-29T00:00:00Z
38,Singapore,SG,,,,1.35,103.82,72,recovered,2020-03-01T00:00:00Z
39,Singapore,SG,,,,1.35,103.82,78,recovered,2020-03-02T00:00:00Z
40,Singapore,SG,,,,1.35,103.82,78,recovered,2020-03-03T00:00:00Z
41,Singapore,SG,,,,1.35,103.82,78,recovered,2020-03-04T00:00:00Z
42,Singapore,SG,,,,1.35,103.82,78,recovered,2020-03-05T00:00:00Z
43,Singapore,SG,,,,1.35,103.82,78,recovered,2020-03-06T00:00:00Z
44,Singapore,SG,,,,1.35,103.82,78,recovered,2020-03-07T00:00:00Z
45,Singapore,SG,,,,1.35,103.82,78,recovered,2020-03-08T00:00:00Z
46,Singapore,SG,,,,1.35,103.82,78,recovered,2020-03-09T00:00:00Z
47,Singapore,SG,,,,1.35,103.82,78,recovered,2020-03-10T00:00:00Z
48,Singapore,SG,,,,1.35,103.82,96,recovered,2020-03-11T00:00:00Z
49,Singapore,SG,,,,1.35,103.82,96,recovered,2020-03-12T00:00:00Z
50,Singapore,SG,,,,1.35,103.82,97,recovered,2020-03-13T00:00:00Z
51,Singapore,SG,,,,1.35,103.82,105,recovered,2020-03-14T00:00:00Z
52,Singapore,SG,,,,1.35,103.82,105,recovered,2020-03-15T00:00:00Z
53,Singapore,SG,,,,1.35,103.82,109,recovered,2020-03-16T00:00:00Z
54,Singapore,SG,,,,1.35,103.82,114,recovered,2020-03-17T00:00:00Z
55,Singapore,SG,,,,1.35,103.82,114,recovered,2020-03-18T00:00:00Z
56,Singapore,SG,,,,1.35,103.82,114,recovered,2020-03-19T00:00:00Z
57,Singapore,SG,,,,1.35,103.82,124,recovered,2020-03-20T00:00:00Z
58,Singapore,SG,,,,1.35,103.82,140,recovered,2020-03-21T00:00:00Z
59,Singapore,SG,,,,1.35,103.82,144,recovered,2020-03-22T00:00:00Z
60,Singapore,SG,,,,1.35,103.82,144,recovered,2020-03-23T00:00:00Z
61,Singapore,SG,,,,1.35,103.82,156,recovered,2020-03-24T00:00:00Z
62,Singapore,SG,,,,1.35,103.82,160,recovered,2020-03-25T00:00:00Z
63,Singapore,SG,,,,1.35,103.82,172,recovered,2020-03-26T00:00:00Z
64,Singapore,SG,,,,1.35,103.82,183,recovered,2020-03-27T00:00:00Z
65,Singapore,SG,,,,1.35,103.82,198,recovered,2020-03-28T00:00:00Z
66,Singapore,SG,,,,1.35,103.82,212,recovered,2020-03-29T00:00:00Z
67,Singapore,SG,,,,1.35,103.82,228,recovered,2020-03-30T00:00:00Z
68,Singapore,SG,,,,1.35,103.82,240,recovered,2020-03-31T00:00:00Z
69,Singapore,SG,,,,1.35,103.82,245,recovered,2020-04-01T00:00:00Z
70,Singapore,SG,,,,1.35,103.82,266,recovered,2020-04-02T00:00:00Z
71,Singapore,SG,,,,1.35,103.82,282,recovered,2020-04-03T00:00:00Z
72,Singapore,SG,,,,1.35,103.82,297,recovered,2020-04-04T00:00:00Z
73,Singapore,SG,,,,1.35,103.82,320,recovered,2020-04-05T00:00:00Z
74,Singapore,SG,,,,1.35,103.82,344,recovered,2020-04-06T00:00:00Z
75,Singapore,SG,,,,1.35,103.82,377,recovered,2020-04-07T00:00:00Z
76,Singapore,SG,,,,1.35,103.82,406,recovered,2020-04-08T00:00:00Z
77,Singapore,SG,,,,1.35,103.82,460,recovered,2020-04-09T00:00:00Z
78,Singapore,SG,,,,1.35,103.82,492,recovered,2020-04-10T00:00:00Z
79,Singapore,SG,,,,1.35,103.82,528,recovered,2020-04-11T00:00:00Z
80,Singapore,SG,,,,1.35,103.82,560,recovered,2020-04-12T00:00:00Z
81,Singapore,SG,,,,1.35,103.82,586,recovered,2020-04-13T00:00:00Z
82,Singapore,SG,,,,1.35,103.82,611,recovered,2020-04-14T00:00:00Z
83,Singapore,SG,,,,1.35,103.82,652,recovered,2020-04-15T00:00:00Z
84,Singapore,SG,,,,1.35,103.82,683,recovered,2020-04-16T00:00:00Z
85,Singapore,SG,,,,1.35,103.82,708,recovered,2020-04-17T00:00:00Z
86,Singapore,SG,,,,1.35,103.82,740,recovered,2020-04-18T00:00:00Z
87,Singapore,SG,,,,1.35,103.82,768,recovered,2020-04-19T00:00:00Z
88,Singapore,SG,,,,1.35,103.82,801,recovered,2020-04-20T00:00:00Z
89,Singapore,SG,,,,1.35,103.82,839,recovered,2020-04-21T00:00:00Z
90,Singapore,SG,,,,1.35,103.82,896,recovered,2020-04-22T00:00:00Z
91,Singapore,SG,,,,1.35,103.82,924,recovered,2020-04-23T00:00:00Z
92,Singapore,SG,,,,1.35,103.82,956,recovered,2020-04-24T00:00:00Z
93,Singapore,SG,,,,1.35,103.82,1002,recovered,2020-04-25T00:00:00Z
94,Singapore,SG,,,,1.35,103.82,1060,recovered,2020-04-26T00:00:00Z
95,Singapore,SG,,,,1.35,103.82,1095,recovered,2020-04-27T00:00:00Z
96,Singapore,SG,,,,1.35,103.82,1128,recovered,2020-04-28T00:00:00Z
97,Singapore,SG,,,,1.35,103.82,1188,recovered,2020-04-29T00:00:00Z
98,Singapore,SG,,,,1.35,103.82,1244,recovered,2020-04-30T00:00:00Z
99,Singapore,SG,,,,1.35,103.82,1268,recovered,2020-05-01T00:00:00Z
100,Singapore,SG,,,,1.35,103.82,1347,recovered,2020-05-02T00:00:00Z
101,Singapore,SG,,,,1.35,103.82,1408,recovered,2020-05-03T00:00:00Z
102,Singapore,SG,,,,1.35,103.82,1457,recovered,2020-05-04T00:00:00Z
