,maint,doors,persons,lug_boot,safety,class,row_num
1036,high,4,4,small,med,unacc,1036
757,low,2,2,small,med,unacc,757
589,high,3,more,med,med,acc,589
907,vhigh,3,4,big,med,acc,907
1159,med,4,more,big,med,acc,1159
1684,low,4,4,small,med,acc,1684
1054,high,5more,2,small,med,unacc,1054
611,high,4,4,big,high,acc,611
1242,low,4,2,small,low,unacc,1242
772,low,2,4,big,med,acc,772
1140,med,4,2,big,low,unacc,1140
277,med,4,2,big,med,unacc,277
1336,vhigh,3,4,med,med,unacc,1336
1591,med,4,more,big,med,good,1591
358,low,3,2,big,med,unacc,358
1472,high,4,4,med,high,vgood,1472
236,med,2,more,small,high,unacc,236
781,low,2,more,big,med,acc,781
1435,high,3,2,med,med,unacc,1435
1664,low,3,4,big,high,vgood,1664
1110,med,3,2,med,low,unacc,1110
1553,med,3,4,med,high,good,1553
1281,low,5more,4,med,low,unacc,1281
208,high,5more,more,small,med,unacc,208
1047,high,4,more,med,low,unacc,1047
1470,high,4,4,med,low,unacc,1470
1509,high,5more,more,big,low,unacc,1509
58,vhigh,4,2,med,med,unacc,58
1221,low,3,2,big,low,unacc,1221
1536,med,2,more,big,low,unacc,1536
596,high,4,2,small,high,unacc,596
1524,med,2,4,med,low,unacc,1524
1365,vhigh,4,4,big,low,unacc,1365
363,low,3,4,med,low,unacc,363
567,high,3,2,small,low,unacc,567
354,low,3,2,med,low,unacc,354
427,low,5more,more,med,med,acc,427
1723,low,5more,more,med,med,good,1723
1387,vhigh,5more,4,small,med,unacc,1387
1568,med,4,2,small,high,unacc,1568
963,vhigh,5more,more,small,low,unacc,963
1058,high,5more,2,med,high,unacc,1058
1041,high,4,4,big,low,unacc,1041
292,med,4,more,med,med,acc,292
1030,high,4,2,med,med,unacc,1030
1324,vhigh,3,2,small,med,unacc,1324
1580,med,4,4,med,high,vgood,1580
118,high,2,4,small,med,unacc,118
1087,med,2,2,big,med,unacc,1087
921,vhigh,4,2,med,low,unacc,921
588,high,3,more,med,low,unacc,588
233,med,2,4,big,high,acc,233
1114,med,3,2,big,med,unacc,1114
1429,high,2,more,big,med,acc,1429
196,high,5more,2,big,med,unacc,196
1455,high,3,more,big,low,unacc,1455
1566,med,4,2,small,low,unacc,1566
1443,high,3,4,med,low,unacc,1443
81,vhigh,5more,2,small,low,unacc,81
1617,med,5more,more,big,low,unacc,1617
1544,med,3,2,med,high,unacc,1544
1326,vhigh,3,2,med,low,unacc,1326
914,vhigh,3,more,med,high,acc,914
380,low,4,2,small,high,unacc,380
111,high,2,2,med,low,unacc,111
1487,high,5more,2,small,high,unacc,1487
84,vhigh,5more,2,med,low,unacc,84
1452,high,3,more,med,low,unacc,1452
985,high,2,4,med,med,unacc,985
1449,high,3,more,small,low,unacc,1449
952,vhigh,5more,2,big,med,unacc,952
1691,low,4,4,big,high,vgood,1691
930,vhigh,4,4,med,low,unacc,930
1236,low,3,more,med,low,unacc,1236
310,med,5more,4,med,med,acc,310
778,low,2,more,med,med,unacc,778
1494,high,5more,4,small,low,unacc,1494
938,vhigh,4,more,small,high,acc,938
1317,vhigh,2,more,med,low,unacc,1317
705,med,4,2,med,low,unacc,705
670,med,2,more,med,med,unacc,670
