,maint,doors,persons,lug_boot,safety,class
107,vhigh,5more,more,big,high,unacc
901,vhigh,3,4,small,med,unacc
1709,low,5more,2,big,high,unacc
706,med,4,2,med,med,unacc
678,med,3,2,med,low,unacc
722,med,4,more,small,high,acc
429,low,5more,more,big,low,unacc
679,med,3,2,med,med,unacc
917,vhigh,3,more,big,high,acc
1230,low,3,4,big,low,unacc
128,high,2,more,small,high,unacc
810,low,4,2,small,low,unacc
1106,med,2,more,big,high,vgood
1168,med,5more,2,big,med,unacc
1108,med,3,2,small,med,unacc
973,high,2,2,small,med,unacc
1521,med,2,4,small,low,unacc
881,vhigh,2,4,big,high,acc
591,high,3,more,big,low,unacc
590,high,3,more,med,high,acc
1309,vhigh,2,4,med,med,unacc
1155,med,4,more,med,low,unacc
493,vhigh,4,2,big,med,unacc
1010,high,3,4,small,high,acc
1378,vhigh,5more,2,small,med,unacc
857,low,5more,more,small,high,acc
1280,low,5more,4,small,high,good
1121,med,3,4,med,high,acc
1428,high,2,more,big,low,unacc
819,low,4,4,small,low,unacc
534,vhigh,5more,more,med,low,unacc
701,med,3,more,big,high,acc
1652,low,3,2,med,high,unacc
226,med,2,4,small,med,unacc
231,med,2,4,big,low,unacc
693,med,3,more,small,low,unacc
1471,high,4,4,med,med,acc
543,high,2,2,med,low,unacc
163,high,4,2,small,med,unacc
842,low,5more,2,med,high,unacc
609,high,4,4,big,low,unacc
266,med,3,more,med,high,acc
148,high,3,4,med,med,unacc
439,vhigh,2,2,big,med,unacc
806,low,3,more,med,high,acc
1678,low,4,2,med,med,unacc
637,high,5more,4,big,med,acc
1362,vhigh,4,4,med,low,unacc
306,med,5more,4,small,low,unacc
192,high,5more,2,med,low,unacc
1425,high,2,more,med,low,unacc
309,med,5more,4,med,low,unacc
1561,med,3,more,med,med,good
63,vhigh,4,4,small,low,unacc
926,vhigh,4,2,big,high,unacc
1719,low,5more,more,small,low,unacc
1503,high,5more,more,small,low,unacc
1134,med,4,2,small,low,unacc
936,vhigh,4,more,small,low,unacc
1043,high,4,4,big,high,acc
598,high,4,2,med,med,unacc
1188,low,2,2,small,low,unacc
1295,low,5more,more,big,high,vgood
1179,med,5more,more,small,low,unacc
997,high,2,more,big,med,acc
218,med,2,2,small,high,unacc
631,high,5more,4,small,med,unacc
286,med,4,4,big,med,acc
583,high,3,4,big,med,acc
1392,vhigh,5more,4,big,low,unacc
1718,low,5more,4,big,high,vgood
361,low,3,4,small,med,unacc
593,high,3,more,big,high,acc
535,vhigh,5more,more,med,med,unacc
1604,med,5more,4,small,high,good
613,high,4,more,small,med,unacc
1417,high,2,4,med,med,acc
1322,vhigh,2,more,big,high,acc
1374,vhigh,4,more,big,low,unacc
817,low,4,2,big,med,unacc
1424,high,2,more,small,high,unacc
1246,low,4,2,med,med,unacc
619,high,4,more,big,med,acc
1074,high,5more,more,med,low,unacc
