,buying,maint,doors,persons,lug_boot,safety,class
1361,low,vhigh,4,4,small,high,acc
1604,low,med,5more,4,small,high,good
749,high,med,5more,more,small,high,acc
464,high,vhigh,3,2,med,high,unacc
714,high,med,4,4,med,low,unacc
1370,low,vhigh,4,more,small,high,acc
642,high,high,5more,more,med,low,unacc
1430,low,high,2,more,big,high,vgood
336,vhigh,low,2,4,med,low,unacc
1304,low,vhigh,2,2,big,high,unacc
1286,med,low,5more,4,big,high,vgood
783,high,low,3,2,small,low,unacc
635,high,high,5more,4,med,high,acc
1134,med,med,4,2,small,low,unacc
134,vhigh,high,2,more,big,high,unacc
157,vhigh,high,3,more,med,med,unacc
948,med,vhigh,5more,2,med,low,unacc
1522,low,med,2,4,small,med,acc
147,vhigh,high,3,4,med,low,unacc
1384,low,vhigh,5more,2,big,med,unacc
1076,med,high,5more,more,med,high,acc
294,vhigh,med,4,more,big,low,unacc
691,high,med,3,4,big,med,acc
1294,med,low,5more,more,big,med,good
758,high,low,2,2,small,high,unacc
1557,low,med,3,more,small,low,unacc
453,high,vhigh,2,more,med,low,unacc
1107,med,med,3,2,small,low,unacc
1424,low,high,2,more,small,high,unacc
878,med,vhigh,2,4,med,high,acc
1596,low,med,5more,2,med,low,unacc
1268,med,low,4,more,big,high,vgood
1196,med,low,2,2,big,high,unacc
1120,med,med,3,4,med,med,acc
224,vhigh,med,2,2,big,high,unacc
1406,low,high,2,2,small,high,unacc
785,high,low,3,2,small,high,unacc
286,vhigh,med,4,4,big,med,acc
1176,med,med,5more,4,big,low,unacc
63,vhigh,vhigh,4,4,small,low,unacc
414,vhigh,low,5more,4,small,low,unacc
39,vhigh,vhigh,3,4,med,low,unacc
664,high,med,2,4,big,med,acc
1649,low,low,3,2,small,high,unacc
1420,low,high,2,4,big,med,acc
1529,low,med,2,4,big,high,vgood
214,vhigh,high,5more,more,big,med,unacc
809,high,low,3,more,big,high,acc
1101,med,med,2,more,med,low,unacc
70,vhigh,vhigh,4,4,big,med,unacc
544,high,high,2,2,med,med,unacc
1585,low,med,4,more,small,med,acc
76,vhigh,vhigh,4,more,med,med,unacc
330,vhigh,low,2,2,big,low,unacc
892,med,vhigh,3,2,small,med,unacc
754,high,med,5more,more,big,med,acc
536,high,vhigh,5more,more,med,high,unacc
551,high,high,2,4,small,high,acc
483,high,vhigh,3,more,big,low,unacc
1242,med,low,4,2,small,low,unacc
765,high,low,2,4,small,low,unacc
591,high,high,3,more,big,low,unacc
819,high,low,4,4,small,low,unacc
1258,med,low,4,4,big,med,good
1222,med,low,3,2,big,med,unacc
893,med,vhigh,3,2,small,high,unacc
633,high,high,5more,4,med,low,unacc
1264,med,low,4,more,med,med,good
1632,low,low,2,4,med,low,unacc
968,med,vhigh,5more,more,med,high,acc
594,high,high,4,2,small,low,unacc
1362,low,vhigh,4,4,med,low,unacc
1393,low,vhigh,5more,4,big,med,acc
326,vhigh,low,2,2,small,high,unacc
1369,low,vhigh,4,more,small,med,unacc
1548,low,med,3,4,small,low,unacc
1363,low,vhigh,4,4,med,med,acc
1595,low,med,5more,2,small,high,unacc
1249,med,low,4,2,big,med,unacc
998,med,high,2,more,big,high,acc
920,med,vhigh,4,2,small,high,unacc
1371,low,vhigh,4,more,med,low,unacc
884,med,vhigh,2,more,small,high,unacc
1089,med,med,2,4,small,low,unacc
1597,low,med,5more,2,med,med,unacc
1229,med,low,3,4,med,high,good
940,med,vhigh,4,more,med,med,acc
782,high,low,2,more,big,high,acc
703,high,med,4,2,small,med,unacc
566,high,high,2,more,big,high,acc
1030,med,high,4,2,med,med,unacc
555,high,high,2,4,big,low,unacc
1568,low,med,4,2,small,high,unacc
1623,low,low,2,2,med,low,unacc
99,vhigh,vhigh,5more,more,small,low,unacc
857,high,low,5more,more,small,high,acc
292,vhigh,med,4,more,med,med,acc
1154,med,med,4,more,small,high,acc
1565,low,med,3,more,big,high,vgood
125,vhigh,high,2,4,big,high,unacc
871,med,vhigh,2,2,big,med,unacc
243,vhigh,med,3,2,small,low,unacc
285,vhigh,med,4,4,big,low,unacc
1322,low,vhigh,2,more,big,high,acc
21,vhigh,vhigh,2,more,med,low,unacc
1341,low,vhigh,3,more,small,low,unacc
565,high,high,2,more,big,med,acc
1255,med,low,4,4,med,med,good
1607,low,med,5more,4,med,high,vgood
73,vhigh,vhigh,4,more,small,med,unacc
1132,med,med,3,more,big,med,acc
1181,med,med,5more,more,small,high,acc
800,high,low,3,4,big,high,acc
866,med,vhigh,2,2,small,high,unacc
1310,low,vhigh,2,4,med,high,acc
1312,low,vhigh,2,4,big,med,acc
1189,med,low,2,2,small,med,unacc
770,high,low,2,4,med,high,acc
1124,med,med,3,4,big,high,vgood
51,vhigh,vhigh,3,more,big,low,unacc
1599,low,med,5more,2,big,low,unacc
443,high,vhigh,2,4,small,high,unacc
694,high,med,3,more,small,med,unacc
10,vhigh,vhigh,2,4,small,med,unacc
549,high,high,2,4,small,low,unacc
733,high,med,5more,2,med,med,unacc
87,vhigh,vhigh,5more,2,big,low,unacc
59,vhigh,vhigh,4,2,med,high,unacc
1402,low,vhigh,5more,more,big,med,acc
1680,low,low,4,2,big,low,unacc
1270,med,low,5more,2,small,med,unacc
1014,med,high,3,4,big,low,unacc
112,vhigh,high,2,2,med,med,unacc
183,vhigh,high,4,more,med,low,unacc
584,high,high,3,4,big,high,acc
498,high,vhigh,4,4,med,low,unacc
1067,med,high,5more,4,med,high,acc
106,vhigh,vhigh,5more,more,big,med,unacc
1457,low,high,3,more,big,high,vgood
687,high,med,3,4,med,low,unacc
1684,low,low,4,4,small,med,acc
1175,med,med,5more,4,med,high,vgood
309,vhigh,med,5more,4,med,low,unacc
1612,low,med,5more,more,small,med,acc
1092,med,med,2,4,med,low,unacc
1209,med,low,2,more,med,low,unacc
277,vhigh,med,4,2,big,med,unacc
252,vhigh,med,3,4,small,low,unacc
237,vhigh,med,2,more,med,low,unacc
276,vhigh,med,4,2,big,low,unacc
811,high,low,4,2,small,med,unacc
1533,low,med,2,more,med,low,unacc
1138,med,med,4,2,med,med,unacc
972,med,high,2,2,small,low,unacc
155,vhigh,high,3,more,small,high,unacc
1515,low,med,2,2,med,low,unacc
1,vhigh,vhigh,2,2,small,med,unacc
384,vhigh,low,4,2,big,low,unacc
375,vhigh,low,3,more,big,low,unacc
1200,med,low,2,4,med,low,unacc
323,vhigh,med,5more,more,big,high,acc
364,vhigh,low,3,4,med,med,unacc
723,high,med,4,more,med,low,unacc
713,high,med,4,4,small,high,acc
1657,low,low,3,4,small,med,acc
688,high,med,3,4,med,med,unacc
139,vhigh,high,3,2,med,med,unacc
573,high,high,3,2,big,low,unacc
980,med,high,2,2,big,high,unacc
448,high,vhigh,2,4,big,med,unacc
1093,med,med,2,4,med,med,acc
680,high,med,3,2,med,high,unacc
912,med,vhigh,3,more,med,low,unacc
844,high,low,5more,2,big,med,unacc
241,vhigh,med,2,more,big,med,acc
378,vhigh,low,4,2,small,low,unacc
427,vhigh,low,5more,more,med,med,acc
1446,low,high,3,4,big,low,unacc
382,vhigh,low,4,2,med,med,unacc
863,high,low,5more,more,big,high,acc
1605,low,med,5more,4,med,low,unacc
1019,med,high,3,more,small,high,acc
715,high,med,4,4,med,med,acc
1205,med,low,2,4,big,high,vgood
83,vhigh,vhigh,5more,2,small,high,unacc
1103,med,med,2,more,med,high,acc
340,vhigh,low,2,4,big,med,acc
852,high,low,5more,4,big,low,unacc
1502,low,high,5more,4,big,high,vgood
636,high,high,5more,4,big,low,unacc
1047,med,high,4,more,med,low,unacc
726,high,med,4,more,big,low,unacc
395,vhigh,low,4,4,big,high,acc
162,vhigh,high,4,2,small,low,unacc
1237,med,low,3,more,med,med,good
1491,low,high,5more,2,big,low,unacc
148,vhigh,high,3,4,med,med,unacc
1156,med,med,4,more,med,med,acc
531,high,vhigh,5more,more,small,low,unacc
1339,low,vhigh,3,4,big,med,acc
1523,low,med,2,4,small,high,good
361,vhigh,low,3,4,small,med,unacc
705,high,med,4,2,med,low,unacc
522,high,vhigh,5more,4,small,low,unacc
316,vhigh,med,5more,more,small,med,unacc
298,vhigh,med,5more,2,small,med,unacc
1442,low,high,3,4,small,high,acc
1651,low,low,3,2,med,med,unacc
1638,low,low,2,more,small,low,unacc
1274,med,low,5more,2,med,high,unacc
616,high,high,4,more,med,med,acc
1394,low,vhigh,5more,4,big,high,acc
721,high,med,4,more,small,med,unacc
366,vhigh,low,3,4,big,low,unacc
997,med,high,2,more,big,med,acc
1645,low,low,2,more,big,med,good
49,vhigh,vhigh,3,more,med,med,unacc
1672,low,low,3,more,big,med,good
899,med,vhigh,3,2,big,high,unacc
221,vhigh,med,2,2,med,high,unacc
1479,low,high,4,more,med,low,unacc
401,vhigh,low,4,more,med,high,acc
354,vhigh,low,3,2,med,low,unacc
1061,med,high,5more,2,big,high,unacc
557,high,high,2,4,big,high,acc
941,med,vhigh,4,more,med,high,acc
875,med,vhigh,2,4,small,high,acc
1195,med,low,2,2,big,med,unacc
1521,low,med,2,4,small,low,unacc
1002,med,high,3,2,med,low,unacc
624,high,high,5more,2,med,low,unacc
1698,low,low,4,more,big,low,unacc
913,med,vhigh,3,more,med,med,acc
1267,med,low,4,more,big,med,good
212,vhigh,high,5more,more,med,high,unacc
1506,low,high,5more,more,med,low,unacc
919,med,vhigh,4,2,small,med,unacc
1305,low,vhigh,2,4,small,low,unacc
