,class
1361,acc
1604,good
749,acc
464,unacc
714,unacc
1370,acc
642,unacc
1430,vgood
336,unacc
1304,unacc
1286,vgood
783,unacc
635,acc
1134,unacc
134,unacc
157,unacc
948,unacc
1522,acc
147,unacc
1384,unacc
1076,acc
294,unacc
691,acc
1294,good
758,unacc
1557,unacc
453,unacc
1107,unacc
1424,unacc
878,acc
1596,unacc
1268,vgood
1196,unacc
1120,acc
224,unacc
1406,unacc
785,unacc
286,acc
1176,unacc
63,unacc
414,unacc
39,unacc
664,acc
1649,unacc
1420,acc
1529,vgood
214,unacc
809,acc
1101,unacc
70,unacc
544,unacc
1585,acc
76,unacc
330,unacc
892,unacc
754,acc
536,unacc
551,acc
483,unacc
1242,unacc
765,unacc
591,unacc
819,unacc
1258,good
1222,unacc
893,unacc
633,unacc
1264,good
1632,unacc
968,acc
594,unacc
1362,unacc
1393,acc
326,unacc
1369,unacc
1548,unacc
1363,acc
1595,unacc
1249,unacc
998,acc
920,unacc
1371,unacc
884,unacc
1089,unacc
1597,unacc
1229,good
940,acc
782,acc
703,unacc
566,acc
1030,unacc
555,unacc
1568,unacc
1623,unacc
99,unacc
857,acc
292,acc
1154,acc
1565,vgood
125,unacc
871,unacc
243,unacc
285,unacc
1322,acc
21,unacc
1341,unacc
565,acc
1255,good
1607,vgood
73,unacc
1132,acc
1181,acc
800,acc
866,unacc
1310,acc
1312,acc
1189,unacc
770,acc
1124,vgood
51,unacc
1599,unacc
443,unacc
694,unacc
10,unacc
549,unacc
733,unacc
87,unacc
59,unacc
1402,acc
1680,unacc
1270,unacc
1014,unacc
112,unacc
183,unacc
584,acc
498,unacc
1067,acc
106,unacc
1457,vgood
687,unacc
1684,acc
1175,vgood
309,unacc
1612,acc
1092,unacc
1209,unacc
277,unacc
252,unacc
237,unacc
276,unacc
811,unacc
1533,unacc
1138,unacc
972,unacc
155,unacc
1515,unacc
1,unacc
384,unacc
375,unacc
1200,unacc
323,acc
364,unacc
723,unacc
713,acc
1657,acc
688,unacc
139,unacc
573,unacc
980,unacc
448,unacc
1093,acc
680,unacc
912,unacc
844,unacc
241,acc
378,unacc
427,acc
1446,unacc
382,unacc
863,acc
1605,unacc
1019,acc
715,acc
1205,vgood
83,unacc
1103,acc
340,acc
852,unacc
1502,vgood
636,unacc
1047,unacc
726,unacc
395,acc
162,unacc
1237,good
1491,unacc
148,unacc
1156,acc
531,unacc
1339,acc
1523,good
361,unacc
705,unacc
522,unacc
316,unacc
298,unacc
1442,acc
1651,unacc
1638,unacc
1274,unacc
616,acc
1394,acc
721,unacc
366,unacc
997,acc
1645,good
49,unacc
1672,good
899,unacc
221,unacc
1479,unacc
401,acc
354,unacc
1061,unacc
557,acc
941,acc
875,acc
1195,unacc
1521,unacc
1002,unacc
624,unacc
1698,unacc
913,acc
1267,good
212,unacc
1506,unacc
919,unacc
1305,unacc
550,unacc
803,acc
1290,unacc
1097,vgood
471,unacc
1109,unacc
338,acc
300,unacc
961,acc
1126,acc
1357,unacc
1644,unacc
1579,good
1208,unacc
1352,unacc
262,unacc
1046,acc
171,unacc
835,acc
1584,unacc
1707,unacc
1666,acc
208,unacc
949,unacc
311,acc
1463,unacc
1353,unacc
1278,unacc
1213,good
712,unacc
1586,good
1478,acc
27,unacc
885,unacc
109,unacc
1703,unacc
24,unacc
204,unacc
619,acc
470,unacc
96,unacc
207,unacc
54,unacc
1214,vgood
1149,unacc
659,acc
381,unacc
717,unacc
1133,vgood
592,acc
831,unacc
975,unacc
1713,unacc
681,unacc
275,unacc
873,unacc
197,unacc
175,unacc
177,unacc
1057,unacc
833,acc
351,unacc
1693,acc
72,unacc
890,acc
897,unacc
1276,unacc
704,unacc
417,unacc
1577,good
1427,acc
379,unacc
328,unacc
1377,unacc
367,acc
168,unacc
965,acc
492,unacc
1383,unacc
830,acc
475,unacc
1537,good
317,acc
1477,acc
412,unacc
407,unacc
42,unacc
947,unacc
137,unacc
126,unacc
1702,unacc
693,unacc
1591,good
182,unacc
1416,unacc
514,unacc
236,unacc
447,unacc
1588,good
1487,unacc
86,unacc
753,unacc
199,unacc
103,unacc
560,unacc
1292,vgood
8,unacc
858,unacc
1039,acc
1388,acc
442,unacc
194,unacc
1289,good
622,unacc
282,unacc
655,unacc
129,unacc
1037,acc
1439,unacc
701,acc
951,unacc
810,unacc
1207,unacc
1408,unacc
1344,unacc
1062,unacc
684,unacc
1335,unacc
47,unacc
654,unacc
1415,acc
284,acc
198,unacc
992,unacc
802,unacc
962,acc
1234,acc
1326,unacc
368,acc
981,unacc
604,unacc
1669,good
672,unacc
507,unacc
120,unacc
627,unacc
1259,vgood
1436,unacc
163,unacc
455,unacc
1106,vgood
1510,acc
1003,unacc
804,unacc
1098,unacc
855,unacc
161,unacc
820,unacc
590,acc
418,acc
1073,acc
571,unacc
1049,acc
14,unacc
764,unacc
346,unacc
932,acc
1694,good
898,unacc
1040,acc
756,unacc
1314,unacc
1648,unacc
283,acc
234,unacc
661,unacc
1366,acc
101,unacc
121,unacc
249,unacc
131,unacc
481,unacc
142,unacc
1514,unacc
415,unacc
1011,unacc
952,unacc
1620,unacc
840,unacc
954,unacc
1379,unacc
744,unacc
1508,vgood
1246,unacc
623,unacc
209,unacc
1576,acc
1611,unacc
1376,acc
140,unacc
319,acc
149,unacc
1380,unacc
1119,unacc
1321,acc
1083,unacc
259,acc
1440,unacc
1437,unacc
1147,acc
490,unacc
914,acc
437,unacc
881,acc
1266,unacc
767,acc
225,unacc
808,acc
1013,acc
426,unacc
625,unacc
1727,vgood
935,acc
264,unacc
479,unacc
459,unacc
617,acc
239,acc
310,acc
867,unacc
306,unacc
19,unacc
1417,acc
916,acc
3,unacc
1021,acc
1070,acc
1094,acc
728,acc
136,unacc
335,acc
1668,unacc
774,unacc
113,unacc
822,unacc
1686,unacc
219,unacc
1608,unacc
894,unacc
1504,acc
1131,unacc
647,acc
1373,acc
856,unacc
640,unacc
697,acc
296,acc
737,unacc
1227,unacc
618,unacc
1710,unacc
853,acc
1720,acc
369,unacc
56,unacc
92,unacc
1108,unacc
78,unacc
735,unacc
1701,unacc
971,acc
834,unacc
926,unacc
656,unacc
107,unacc
771,unacc
505,unacc
1681,unacc
1016,acc
1662,unacc
1241,vgood
1354,unacc
1182,unacc
1146,unacc
17,unacc
562,unacc
651,unacc
1135,unacc
921,unacc
