,maint,doors,persons,lug_boot,safety,class
1120,med,3,4,med,med,acc
1000,high,3,2,small,med,unacc
1504,high,5more,more,small,med,acc
1202,low,2,4,med,high,good
353,low,3,2,small,high,unacc
550,high,2,4,small,med,unacc
954,vhigh,5more,4,small,low,unacc
1282,low,5more,4,med,med,good
687,med,3,4,med,low,unacc
244,med,3,2,small,med,unacc
18,vhigh,2,more,small,low,unacc
340,low,2,4,big,med,acc
1275,low,5more,2,big,low,unacc
1642,low,2,more,med,med,acc
1312,vhigh,2,4,big,med,acc
809,low,3,more,big,high,acc
997,high,2,more,big,med,acc
154,high,3,more,small,med,unacc
267,med,3,more,big,low,unacc
286,med,4,4,big,med,acc
1402,vhigh,5more,more,big,med,acc
463,vhigh,3,2,med,med,unacc
234,med,2,more,small,low,unacc
685,med,3,4,small,med,unacc
1332,vhigh,3,4,small,low,unacc
780,low,2,more,big,low,unacc
878,vhigh,2,4,med,high,acc
987,high,2,4,big,low,unacc
1363,vhigh,4,4,med,med,acc
1540,med,3,2,small,med,unacc
276,med,4,2,big,low,unacc
746,med,5more,4,big,high,acc
916,vhigh,3,more,big,med,acc
1267,low,4,more,big,med,good
932,vhigh,4,4,med,high,acc
1662,low,3,4,big,low,unacc
1147,med,4,4,med,med,acc
968,vhigh,5more,more,med,high,acc
1371,vhigh,4,more,med,low,unacc
1058,high,5more,2,med,high,unacc
1043,high,4,4,big,high,acc
1093,med,2,4,med,med,acc
807,low,3,more,big,low,unacc
1251,low,4,4,small,low,unacc
1284,low,5more,4,big,low,unacc
447,vhigh,2,4,big,low,unacc
1541,med,3,2,small,high,unacc
1585,med,4,more,small,med,acc
180,high,4,more,small,low,unacc
122,high,2,4,med,high,unacc
1107,med,3,2,small,low,unacc
70,vhigh,4,4,big,med,unacc
1566,med,4,2,small,low,unacc
1457,high,3,more,big,high,vgood
1522,med,2,4,small,med,acc
1692,low,4,more,small,low,unacc
551,high,2,4,small,high,acc
437,vhigh,2,2,med,high,unacc
335,low,2,4,small,high,acc
1286,low,5more,4,big,high,vgood
1278,low,5more,4,small,low,unacc
401,low,4,more,med,high,acc
1727,low,5more,more,big,high,vgood
453,vhigh,2,more,med,low,unacc
29,vhigh,3,2,small,high,unacc
1266,low,4,more,big,low,unacc
214,high,5more,more,big,med,unacc
937,vhigh,4,more,small,med,unacc
1095,med,2,4,big,low,unacc
1235,low,3,more,small,high,good
270,med,4,2,small,low,unacc
1517,med,2,2,med,high,unacc
749,med,5more,more,small,high,acc
149,high,3,4,med,high,unacc
119,high,2,4,small,high,unacc
15,vhigh,2,4,big,low,unacc
1440,high,3,4,small,low,unacc
1005,high,3,2,big,low,unacc
617,high,4,more,med,high,acc
565,high,2,more,big,med,acc
824,low,4,4,med,high,acc
1581,med,4,4,big,low,unacc
1273,low,5more,2,med,med,unacc
408,low,5more,2,med,low,unacc
998,high,2,more,big,high,acc
663,med,2,4,big,low,unacc
